band,Pop,SITE,Year,bandyear,Sex,age,CI1,RS,mRWL,mLTS,mRTS,maxTS,Mass,Date,Date2,Julian,T_Avg.Brightness,T_Hue,T_Chrom,R_Avg.Brightness,R_Hue,R_Chrom,B_Avg.Brightness,B_Hue,B_Chrom,V_Avg.Brightness,V_Hue,V_Chrom,colordate,T_tcs.h.theta,T_tcs.h.phi,T_tcs.r.vec,T_tcs.r.achieved,T_sum.B2,R_tcs.h.theta,R_tcs.h.phi,R_tcs.r.vec,R_tcs.r.achieved,R_sum.B2,B_tcs.h.theta,B_tcs.h.phi,B_tcs.r.vec,B_tcs.r.achieved,B_sum.B2,V_tcs.h.theta,V_tcs.h.phi,V_tcs.r.vec,V_tcs.r.achieved,V_sum.B2
2540-44502,CO,Schaap,2008,2540-44502_2008,F,,132,6,122,85.16666667,84,85.16666667,19.5,50508,5/5/08,126,13.2898022,648.4633333,0.528374056,25.7128426,610.78,0.467041313,23.94452696,620.1233333,0.481784056,24.33092906,652.7533333,0.524951575,2540-44502.50508,-0.130435356,-0.646807453,0.23445065,0.565055469,12.95922012,0.021916135,-0.817860002,0.206175541,0.601751119,25.13961071,-0.03338598,-0.772660252,0.21318719,0.594194221,23.39798257,-0.064846917,-0.74831385,0.247335932,0.672930662,23.69048845
2540-44503,CO,Schaap,2008,2540-44503_2008,F,,131,8,119.6666667,83,82,83,19.5,50508,5/5/08,126,11.17934452,597.4533333,0.534436419,19.42983575,597.69,0.468452865,30.65653931,643.4566667,0.464260776,32.73132699,635.43,0.448938731,2540-44503.50508,-0.098184235,-0.753004729,0.257655746,0.702766468,10.87271935,0.049996639,-0.852800706,0.217232828,0.65461268,18.97987102,0.025508399,-0.83881796,0.205617269,0.611680062,29.97671899,0.010885295,-0.830721224,0.186175502,0.549320861,32.07154748
2540-44504,CO,Schaap,2008,2540-44504_2008,M,,131,8,123,103.5,98.66666667,103.5,19.5,50508,5/5/08,126,3.516206643,670.3933333,0.687313397,31.16616558,645.1433333,0.48541896,15.43135086,624.1433333,0.517037326,13.47159773,638.7033333,0.568166805,2540-44504.50508,-0.182303761,-0.621289822,0.387772653,0.90308247,3.385298635,-0.033306164,-0.809818137,0.215444053,0.623972222,30.43864738,-0.042027147,-0.745460423,0.242814503,0.658514276,15.03373596,-0.132869869,-0.651120507,0.270065073,0.654329048,13.09300372
2540-44505,CO,Make Believe,2008,2540-44505_2008,F,,,,118,90.5,90.83333333,90.83333333,19,50508,5/5/08,126,13.45011918,660.0766667,0.547044871,21.36296645,580.0966667,0.499576529,23.18113671,620.1033333,0.498598664,22.47916658,661.3566667,0.520411168,2540-44505.50508,-0.13983175,-0.664807995,0.251955742,0.621600488,13.09290453,-0.035985323,-0.750578584,0.228697754,0.623941792,20.84321457,-0.040465778,-0.757744863,0.227755606,0.626129259,22.62090115,-0.07711809,-0.712197161,0.237312568,0.620330474,21.91324957
2540-44506,CO,Make Believe,2008,2540-44506_2008,F,,151,9,117.6666667,77.16666667,77.83333333,77.83333333,17.5,50508,5/5/08,126,25.02236622,579.4466667,0.478614818,33.62518361,618.44,0.440780419,36.94343649,616.42,0.412148483,24.88783125,579.4466667,0.473340916,2540-44506.50508,-0.049508412,-0.743262494,0.204981843,0.554719305,24.4693486,0.030011862,-0.886801665,0.186847373,0.579250873,32.94526781,0.088855572,-0.93386574,0.164773921,0.529471379,36.27579695,0.016396682,-0.809194513,0.21221337,0.614001422,24.3221735
2540-44507,CO,Make Believe,2008,2540-44507_2008,F,,146,2,116,77.5,77,77.5,18.5,50508,5/5/08,126,20.49528426,629.0566667,0.505689996,24.81420698,618.42,0.461193877,23.1630868,622.46,0.499982613,9.635961609,654.4266667,0.508331355,2540-44507.50508,-0.064774479,-0.727727955,0.227452466,0.605080487,19.99966109,0.021740335,-0.871481176,0.20663664,0.632052335,24.26743836,-0.047551369,-0.778406966,0.229593721,0.6440783,22.60253874,-0.013950758,-0.804703329,0.246205637,0.709343758,9.386563117
2540-44508,CO,Make Believe,2008,2540-44508_2008,M,,176,5,123,106,106,106,21.5,50508,5/5/08,126,15.20043732,623.74,0.537487981,30.32281255,577.7366667,0.439399881,23.21193624,609.08,0.488507722,24.25765832,646.41,0.530430931,2540-44508.50508,-0.09176713,-0.741008754,0.257211931,0.694276832,14.78939828,0.032647124,-0.873327279,0.186106252,0.57058524,29.71810116,0.005332227,-0.847087392,0.230069279,0.689251879,22.6416113,-0.024381274,-0.79238447,0.266446054,0.758252295,23.58534788
2540-44509,CO,Make Believe,2008,2540-44509_2008,M,,140,7,121.5,90.83333333,85.33333333,90.83333333,19.5,50508,5/5/08,126,10.09300951,655.065,0.559155577,29.31260507,593.4133333,0.428521342,27.15296461,627.4933333,0.439310584,20.21958121,612.1266667,0.51565179,2540-44509.50508,-0.16491427,-0.612694563,0.254199954,0.584637682,9.82431611,-1.31176E-05,-0.875620694,0.171463628,0.525365039,28.770056,-0.033051892,-0.809326614,0.174057269,0.503823247,26.64469204,-0.085211362,-0.70443114,0.235785703,0.610812508,19.71938139
2540-44510,CO,Make Believe,2008,2540-44510_2008,F,,157,10,120.5,80.5,79,80.5,21,50508,5/5/08,126,11.86069938,674.3566667,0.588241803,37.02583175,607.0666667,0.410696235,28.53394775,611.41,0.472466959,28.97330746,603.4233333,0.459301243,2540-44510.50508,-0.174006785,-0.613646547,0.279055293,0.642215588,11.51660127,0.022928075,-0.994603315,0.162382174,0.544455069,36.36747858,0.007605504,-0.8634026,0.216815116,0.658977566,27.87381484,0.025045494,-0.891942844,0.209075315,0.650847548,28.32952635
2540-44511,CO,Sunrise,2008,2540-44511_2008,M,,159,8,120,86.83333333,89.16666667,89.16666667,18.5,50608,5/6/08,127,13.06443165,686.45,0.553243603,26.44408997,620.0333333,0.485093134,20.30029294,692.4133333,0.490871408,21.57149307,693.4033333,0.510844419,2540-44511.50608,-0.14786129,-0.673697246,0.258867383,0.645938052,12.70963221,-0.031473995,-0.776818038,0.215300988,0.603520699,25.83312685,-0.076071354,-0.741221007,0.209828131,0.566600417,19.8410162,-0.106748479,-0.780324855,0.233658357,0.657491542,21.03565378
