Pfx,ID,Sex,subspecies,Data Year,All Data Years (Recap),mRWL,mRTS,Intact?,Mass,T_AvgBri,T_Hue,T_Chrom,R_AvgBri,R_Hue,R_Chrom,B_AvgBri,B_Hue,B_Chrom,V_AvgBri,V_Hue,V_Chrom,Song?,annual.mean T,annual.cv T,breed.meanT,cv.breedT,max.breedT,min.breedT,breed.varianceT,elevation,ClimStatID, Meant, CVt, Meanp, CVp
CO,2540-98610,M,erythrogaster,2009,"2009, 2010, 2011",123.50,87.67,Y,17.50,21.2323,663.4767,0.4952,18.4852,671.7533,0.5189,11.1389,677.7900,0.4947,13.1401,687.8000,0.5758,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-98793,M,erythrogaster,2009,2009 only,119.67,82.83,Y,17.75,9.2107,677.1000,0.5841,34.7130,599.7333,0.4287,24.2506,591.4200,0.4796,18.5405,625.7367,0.5332,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44644,M,erythrogaster,2009,"2008, 2009",122.00,98.00,Y,17.75,11.9954,653.3533,0.5807,32.1080,602.4300,0.4304,28.4161,629.0900,0.4369,17.5370,643.7833,0.5169,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44892,M,erythrogaster,2009,2009 only,121.00,100.00,Y,18.00,12.3095,667.4400,0.5484,33.0259,629.7067,0.4451,22.4818,646.7800,0.4855,20.0593,660.7333,0.4947,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2351-05510,M,erythrogaster,2009,"2009, 2010",117.00,81.00,Y,16.74,12.8613,652.4300,0.5745,27.3869,572.0567,0.4640,24.2664,584.0833,0.4737,16.9969,651.0333,0.5451,y,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44621,M,erythrogaster,2009,"2008, 2009",119.83,92.00,Y,19.50,13.0869,680.4733,0.5367,32.4438,575.7267,0.4288,23.6528,575.7967,0.4709,17.4596,652.0733,0.5283,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44790,M,erythrogaster,2009,"2008, 2009",117.00,84.00,Y,17.00,10.7130,667.0600,0.5330,22.2881,651.4600,0.5185,20.9138,661.4933,0.5078,31.5782,620.1233,0.4686,y,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-98790,M,erythrogaster,2009,"2009, 2010",118.00,90.00,Y,18.00,9.2523,670.0733,0.5905,26.6341,657.7000,0.4972,33.6964,601.1333,0.4533,19.6284,637.3933,0.5465,y,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44874,M,erythrogaster,2009,"2009, 2010",114.00,87.00,Y,17.50,9.8085,649.8133,0.5385,21.6091,649.8067,0.5407,12.8194,652.0567,0.5491,19.7729,666.0233,0.5054,y,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44870,M,erythrogaster,2009,2009 only,120.17,89.50,Y,16.25,15.5093,663.0633,0.4888,19.0076,634.0633,0.5169,13.5888,655.7133,0.5630,11.0908,661.7133,0.5923,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
