"","Dyads","mRWL","mRTS","T_AvgBri","T_Hue","T_Chrom","R_AvgBri","R_Hue","R_Chrom","B_AvgBri","B_Hue","B_Chrom","V_AvgBri","V_Hue","V_Chrom","var"
"1","CO-IA",-0.230543456932005,0.284193707651185,0.150966799621156,-0.718851336757725,-0.3413889083917,-0.189005966726488,-0.472671008702562,0.113463145609239,-0.0712542232798206,-0.235480695079664,0.181969249473946,-0.116003492085017,-0.0589658251978241,0.110367815394672,"traitmean"
"2","CO-UK",-2.12116086938424,-1.19746353588002,1.04896037452993,-1.09449059838788,-0.637912159884082,-1.29874752241233,0.0319829828842371,1.72532142580704,-1.02896139174858,0.291346559516421,1.63895420207308,-1.15087309493855,0.715081666532304,1.34048669860441,"traitmean"
"3","CO-CR",-1.37323850432499,-1.74218869142773,0.366422024938885,-0.681376522502361,0.613813845302446,-1.56380869478645,-0.320231255544016,1.79180076237535,-1.70961222391666,-0.107643237821088,1.86338138911981,-1.37564173828848,0.125214389433982,1.58254153144174,"traitmean"
"4","CO-RM",-1.39087530132428,-1.69902507385721,1.63891122491717,-1.07197181563471,0.224517574444599,-0.980635471894636,-0.946821485582746,1.57640533458717,-0.422673358623391,-1.01789057461711,1.54810064094269,-0.469508474257724,-0.43517645152035,1.03661567543973,"traitmean"
"5","CO-TR",-1.21859053512669,-1.31357294880468,0.978471336469815,-0.841522481805979,0.0543880499932232,-0.830242532951423,0.193881511180672,1.36809437861011,-0.868268603062771,0.435660193704827,1.4835488700724,-0.526495091075123,0.454829083235927,0.920812263739107,"traitmean"
"6","CO-IL",-1.22636819532169,-1.09631915381141,1.02391086931885,-0.534058988616248,0.245087948796376,-0.230931171230099,-0.620848552130343,0.600183281895698,-0.164256913742721,0.238302962731862,0.714394138659924,0.217666584772991,-0.551189058265938,0.223575367595323,"traitmean"
"7","CO-TW",0.696023069245021,-0.147189573112384,1.26003367392477,-0.878864022648429,-0.779036982958989,-1.50532940825697,-0.107966369775785,2.36318312327624,-1.28365282681388,-0.467264568497282,2.55725517909478,-1.53619667335302,0.532735106653658,2.52011641387243,"traitmean"
"8","IA-UK",-1.89061741245224,-1.48165724353121,0.897993574908776,-0.375639261630152,-0.296523251492382,-1.10974155568584,0.5046539915868,1.6118582801978,-0.957707168468762,0.526827254596085,1.45698495259914,-1.03486960285353,0.774047491730128,1.23011888320974,"traitmean"
"9","IA-CR",-1.14269504739298,-2.02638239907891,0.215455225317729,0.0374748142553634,0.955202753694146,-1.37480272805996,0.152439753158547,1.67833761676611,-1.63835800063684,0.127837457258576,1.68141213964587,-1.25963824620346,0.184180214631806,1.47217371604707,"traitmean"
"10","IA-RM",-1.16033184439227,-1.98321878150839,1.48794442529601,-0.35312047887699,0.565906482836298,-0.791629505168148,-0.474150476880184,1.46294218897793,-0.35141913534357,-0.782409879537447,1.36613139146875,-0.353504982172706,-0.376210626322526,0.926247860045062,"traitmean"
