,acul_byron_berez,alzamay_oblepiha,hingui,kamenka,Karasuk,kontorskaya,krasnyyar_nov,mara,Moscow,Yekaterinburg,zakaltoose,zamzor
acul_byron_berez,NA,0.003377209,0.022728437,0.01745929,0.003189127,0.001748984,0.001960594,0.01545978,0.00551484,0.007642737,0.028233831,0.020321512
alzamay_oblepiha,0.003377209,NA,0.00778406,0.007249694,0.007983418,0.00045998,0.004049299,0.0051605,0.00929209,0.009895153,0.010610146,0.009802934
hingui,0.022728437,0.00778406,NA,0.003547597,0.02330795,0.020610976,0.036447937,0.004105405,0.025841268,0.025229192,0.002968517,0.008888753
kamenka,0.01745929,0.007249694,0.003547597,NA,0.024734143,0.017316191,0.018405219,0.002447309,0.027610039,0.028759415,0.00413588,0.007683118
Karasuk,0.003189127,0.007983418,0.02330795,0.024734143,NA,0.001201053,0.002401999,0.018004764,0.001775496,0.002131459,0.026833625,0.024341495
kontorskaya,0.001748984,0.00045998,0.020610976,0.01731619,0.001201053,NA,0.009447515,0.015008722,0.002680108,0.004618611,0.025994845,0.019414767
krasnyyar_nov,0.001960594,0.004049299,0.036447937,0.018405219,0.002401999,0.009447515,NA,0.023990408,0.007274226,0.013907117,0.046998916,0.024000398
mara,0.01545978,0.0051605,0.004105405,0.002447309,0.018004764,0.015008722,0.023990408,NA,0.020743568,0.021522237,0.006107426,0.008095779
Moscow,0.00551484,0.00929209,0.025841268,0.027610039,0.001775496,0.002680108,0.007274226,0.020743568,NA,0.001340271,0.029658922,0.027290334
Yekaterinburg,0.007642737,0.009895154,0.025229192,0.028759415,0.002131459,0.004618611,0.013907117,0.021522237,0.001340271,NA,0.028617046,0.027960205
zakaltoose,0.028233831,0.010610146,0.002968517,0.00413588,0.026833625,0.025994845,0.046998916,0.006107426,0.029658922,0.028617046,NA,0.009820967
zamzor,0.020321512,0.009802934,0.008888753,0.007683118,0.024341495,0.019414767,0.024000398,0.008095779,0.027290334,0.027960205,0.009820967,NA
