"","Pop","mRWL","mRTS","T_AvgBri","T_Hue","T_Chrom","R_AvgBri","R_Hue","R_Chrom","B_AvgBri","B_Hue","B_Chrom","V_AvgBri","V_Hue","V_Chrom","var"
"1","CO",0.402473544973545,0.378065472501136,0.404787261236045,0.668279195101405,0.574954580225665,0.182413899794647,0.48039746488266,0.59671086765645,0.204939732499117,0.495011554800012,0.633912576137585,0.227738146915614,0.612657338605716,0.652108486439195,"traitmean"
"2","IA",0.444126984126984,0.332741071305593,0.379306378328636,0.804233577503913,0.619111366099318,0.211573530886937,0.573793546530155,0.574060770540656,0.216156909185334,0.543958172716152,0.595206815557944,0.247602756999727,0.625250680522314,0.63119276757072,"traitmean"
"3","UK",0.785714285714286,0.569041965843751,0.227738820486276,0.875277201142988,0.657465024934905,0.38278322829512,0.474077878477337,0.2522933244916,0.366923699248882,0.434452753047674,0.285298900311441,0.424815363095413,0.459937218184767,0.398073894609328,"traitmean"
"4","CR",0.650583412172816,0.655917012076837,0.342940837150793,0.797146068630776,0.495561120546519,0.423676572231209,0.543672647701603,0.23902237715993,0.474074971055835,0.517386095656122,0.237562126133907,0.463305079043008,0.585915278883326,0.352202271471033,"traitmean"
"5","RM",0.653769940476191,0.649033097805876,0.128164155211748,0.871018285502,0.545914461417097,0.333705253669424,0.667481959478213,0.28202072108477,0.271478970820696,0.706588563349986,0.304623902723038,0.308137474596897,0.70559805180123,0.455660255905512,"traitmean"
"6","TR",0.622642390289449,0.587559580668762,0.239636290192019,0.827434034831942,0.567919783785,0.310502797713017,0.442087999917008,0.323604826283243,0.341626680771662,0.404455965793756,0.318354384084698,0.317895947404429,0.51551940931215,0.477606070402964,"traitmean"
"7","IL",0.624047619047619,0.552911036734019,0.231966793197983,0.769284307356348,0.543253796136929,0.218041704976717,0.603072266167083,0.476899191810345,0.230797832392355,0.445478305116107,0.481957404753374,0.190464598015146,0.730374885136159,0.609738892388451,"traitmean"
"8","TW",0.276719576719577,0.401539881272124,0.192112881271448,0.834496338069898,0.675718748007905,0.414654452711525,0.50173077219601,0.124960089399745,0.407018429021938,0.592136375551238,0.0899717345435726,0.490798744318185,0.498881005847592,0.174523184601925,"traitmean"
"9","CO",2,1,6,3,5,8,6,8,9,7,7,6,10,6,"deg"
"10","IA",4,2,6,5,4,7,8,7,9,8,7,8,4,9,"deg"
"11","UK",4,2,6,3,3,8,5,6,4,4,7,4,4,4,"deg"
"12","CR",1,3,7,2,7,5,5,5,8,2,8,7,3,7,"deg"
"13","RM",4,2,4,6,0,4,5,8,7,4,6,4,2,6,"deg"
"14","TR",1,3,7,5,5,6,3,6,7,3,8,7,5,8,"deg"
"15","IL",3,3,2,4,4,8,5,9,7,9,8,7,8,7,"deg"
"16","TW",4,5,5,2,4,4,3,7,5,7,2,4,1,5,"deg"
"17","CO",0,0,0.6,0.333333333333333,0.6,0.714285714285714,1,0.642857142857143,0.666666666666667,0.714285714285714,0.857142857142857,0.733333333333333,0.6,0.666666666666667,"transitivity"
