"","sample.id","band","band2","long","lat","country","location","pop2","pop3","gps","zone","sort.column.snps","sex","tarsus.mean","rwl.mean","bill.length.mean","bill.depth.mean","bill.width.mean","tail.mean","weight","c2.pointedness","c3.convexity","b.total.bright","b.avg.bright","b.hue","b.chrom","r.total.bright","r.avg.bright","r.hue","r.chrom","t.total.bright","t.avg.bright","t.hue","t.chrom","v.total.bright","v.avg.bright","v.hue","v.chrom","carbon.ratio","mate.id"
"1","1","VN96201","VN96201",37.774761,56.724301,"russia","moscow","moscow","moscow","box.car","rustica",1,"m",11.2,135.1666667,6.1,3.6,5.3,119.8333333,18.6,0.271791675,0.804352459,75372.10533,37.74266667,588.1333333,0.389829039,102278.4113,51.21602971,649.1433333,0.367559691,17844.98447,8.935896077,669.7166667,0.510904494,76571.931,38.34348072,553.18,0.414052445,NA,NA
"2","10","VN96210","VN96210",37.825493,56.809699,"russia","moscow","moscow","moscow","horse.barn","rustica",2,"m",11.43333333,133,5.45,2.983333333,4.4,109.25,20.81,0.208916127,0.284036781,86646.86733,43.38851644,627.4333333,0.363766733,114091.7873,57.13159105,660.78,0.319422497,20311.67067,10.17109197,660.4,0.457714783,39862.3515,19.96111743,660.02,0.433130398,NA,NA
"3","100","VN96299","VN96299",77.65515,53.690245,"russia","karasuk","karasuk","karasuk","lucky.morning","rustica",3,"m",11.81666667,127.1666667,5.633333333,2.783333333,4.3,117.3333333,19.96,0.299821712,0.943597804,71404.74023,35.75600412,643.0933333,0.340671925,93453.36367,46.79687715,627.1733333,0.33023355,21803.9056,10.9183303,659.3933333,0.464259379,94354.50733,47.24812586,622.4066667,0.356975531,NA,"VN96298"
"4","1001","1001_g_Qingjie.Village_china","1001",109.494078,18.982972,"china","qingjie.village","hainan","hainan","nest.1","gutturalis",4,"f",8.5,114.6666667,5.5,2.933333333,3.883333333,82.33333333,20,0.326305442,0.572039629,101658.0133,50.90536471,631.745,0.312599213,82745.26667,41.43478551,669.745,0.349434972,20584.59,10.30775663,685.1243333,0.526452151,69887.84,34.99641462,623.1326667,0.393683581,-21.8772,"1002"
"5","1002","1002_g_Qingjie.Village_china","1002",109.494078,18.982972,"china","qingjie.village","hainan","hainan","nest.1","gutturalis",5,"m",5.833333333,122,5.666666667,2.716666667,3.9,91,15.25,0.262521254,0.609490641,70351.73667,35.2287114,631.3536667,0.348466796,75064.29667,37.58853113,588.4756667,0.37937029,13789.35333,6.905034218,677.0766667,0.513908598,55722.31333,27.90301118,667.424,0.433990716,-25.4789,"1001"
"6","1003","1003_g_Qingjie.Village_china","1003",109.494661,18.983182,"china","qingjie.village","hainan","hainan","nest.2","gutturalis",6,"m",9.566666667,118,5.5,2.85,4.133333333,80.33333333,15.41,0.274726747,0.551575679,98487.33333,49.31764313,645.121,0.357147249,85736.32,42.93255884,593.069,0.365116641,19609.21667,9.819337339,677.4273333,0.513816708,63606.63667,31.85109498,628.7723333,0.431325891,-23.7535,NA
"7","1004","1004_g_Qingjie.Village_china","1004",109.494764,18.983258,"china","qingjie.village","hainan","hainan","nest.3","gutturalis",7,"m",10.78333333,120.1666667,5.45,2.733333333,3.983333333,91.58333333,15.82,0.334798754,0.70438525,76300.03667,38.20732933,611.4663333,0.364245046,85779.06667,42.95396428,651.755,0.350398108,16211.51,8.117931898,681.077,0.511354886,50603.63,25.33982474,651.447,0.468104303,-25.1399,NA
"8","1005","1005_g_Bao.Mei.Lin.Chang_china","1005",109.068053,19.296698,"china","bao.mei.lin.chang","hainan","hainan","audience.1","gutturalis",8,"m",10.51666667,120.5,5.9,2.733333333,3.916666667,91.66666667,16.15,0.26546274,0.665912736,73475.94,36.79315974,644.485,0.368308533,93248.07,46.69407611,588.4756667,0.357654245,13592.69,6.806554832,676.4903333,0.507378251,70121.21,35.11327491,587.7533333,0.399873305,-20.7914,"1006"
"9","1006","1006_g_Bao.Mei.Lin.Chang_china","1006",109.068053,19.296698,"china","bao.mei.lin.chang","hainan","hainan","audience.1","gutturalis",9,"f",11.96666667,114.6666667,5.616666667,2.65,4.416666667,81.58333333,17.77,0.39149182,0.407565957,86168.29667,43.14887164,604.1206667,0.321141627,98832.07333,49.49027207,576.17,0.328226398,14310.98667,7.166242697,670.7906667,0.55291078,78458.36,39.28811217,616.1566667,0.372244694,-22.5979,"1005"
"10","1007","1007_g_Bao.Mei.Lin.Chang_china","1007",109.068212,19.296033,"china","bao.mei.lin.chang","hainan","hainan","triangle","gutturalis",10,"f",10.8,120.5,5.866666667,2.9,4.266666667,79.66666667,18.37,0.275303006,0.683990039,112759.5833,56.4644884,606.8106667,0.333357216,117138.31,58.65714071,594.7906667,0.338672926,24803.31667,12.42028877,688.1116667,0.513801946,72945.57333,36.52757803,604.04,0.399482525,-23.598,NA
"11","1008","1008_g_Bao.Mei.Lin.Chang_china","1008",109.067696,19.295641,"china","bao.mei.lin.chang","hainan","hainan","rectangle","gutturalis",11,"m",10.83333333,116.5,5.566666667,2.666666667,4.2,92,15.44,0.300257573,0.674306788,80620.22333,40.37066767,611.4483333,0.336844292,103395.2333,51.77527959,567.452,0.351375933,21374.75667,10.70343348,676.376,0.518478242,85959.95333,43.04454348,601.4066667,0.355929077,-22.9129,"1009"
"12","1009","1009_g_Bao.Mei.Lin.Chang_china","1009",109.067696,19.295641,"china","bao.mei.lin.chang","hainan","hainan","rectangle","gutturalis",12,"f",9.866666667,118.3333333,5.716666667,2.45,4.1,84.5,16.35,0.258640834,0.689521369,68624.26333,34.20950316,614.728,0.378085437,87316.52,43.52767697,564.4723333,0.38803159,18154.63667,9.05016783,660.729,0.525549413,39331.6,19.60697906,633.0706667,0.51900184,-24.1671,"1008"
"13","101","VN96300","VN96300",77.655314,53.69006,"russia","karasuk","karasuk","karasuk","dogs.garage","rustica",13,"f",11.2,124.1666667,5.216666667,2.7,4.666666667,93.83333333,21.39,0.266311671,0.670344992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VN96102"
"14","1010","1010_g_Bao.Mei.Lin.Chang_china","1010",109.067639,19.295755,"china","bao.mei.lin.chang","hainan","hainan","jailbreak","gutturalis",14,"m",10.35,118.3333333,5.6,2.55,4.533333333,97.75,NA,0.295246665,0.862208184,84099.69667,41.92407611,615.053,0.37130001,68987.40333,34.39053008,599.403,0.371658407,18146.58333,9.046153207,683.7323333,0.474873693,40167.61667,20.02373712,644.425,0.486999621,-23.4429,"1011"
"15","1011","1011_g_Bao.Mei.Lin.Chang_china","1011",109.067639,19.295755,"china","bao.mei.lin.chang","hainan","hainan","jailbreak","gutturalis",15,"f",11.06666667,111.6666667,5.9,2.733333333,3.85,69.58333333,14.06,0.322504773,0.788942713,82335.66667,41.04469924,623.407,0.348516367,104841.4167,52.26391658,608.0693333,0.335079169,20507.48333,10.22307245,688.455,0.514653883,101332.8167,50.51486374,578.7356667,0.35141732,-23.3792,"1010"
"16","1012","1012_g_Bao.Mei.Lin.Chang_china","1012",109.06854,19.295811,"china","bao.mei.lin.chang","hainan","hainan","single","gutturalis",16,"f",10.03333333,117.8333333,5.466666667,2.716666667,4.333333333,74.83333333,17.99,0.328219445,0.717461338,94904.52667,47.31033234,560.399,0.342600911,132934.61,66.2684995,636.077,0.328237128,16777.47,8.363644068,675.3696667,0.561979692,87870.45333,43.80381522,609.081,0.370607314,-19.8343,NA
"17","1013","1013_g_Bao.Mei.Lin.Chang_china","1013",109.067766,19.296756,"china","bao.mei.lin.chang","hainan","hainan","finale","gutturalis",17,"m",10.7,118,5.55,2.683333333,4.05,92.5,15.61,0.296160035,0.628389354,76347.37667,38.0595098,609.7223333,0.35866151,92439.01333,46.08126288,625.091,0.357677266,11838.89,5.901739781,680.404,0.548266115,63206.13667,31.50854271,619.032,0.422719712,-23.0252,"1014"
"18","1014","1014_g_Bao.Mei.Lin.Chang_china","1014",109.067766,19.296756,"china","bao.mei.lin.chang","hainan","hainan","finale","gutturalis",18,"f",10.13333333,117.8333333,5.766666667,2.616666667,4.533333333,78.41666667,16.56,0.315304509,0.667281128,76173,37.97258225,598.0436667,0.355229197,92496.87667,46.11010801,605.0966667,0.35509279,19899.47333,9.919976736,672.3826667,0.536895606,88806.59333,44.27048521,632.7853333,0.366057546,-23.1952,"1013"
"19","1015","1015_g_Xin.Cun.Xi.Lu_china","1015",109.04566,19.271525,"china","xin.cun.xi.lu","hainan","hainan","angry.man","gutturalis",19,"m",10.45,117.3333333,5.7,2.65,4.4,87.25,14.89,0.332312155,0.508218034,76652.46,38.38380571,633.8123333,0.32971357,104154.5,52.15548322,632.427,0.33551908,17229.09667,8.627489568,667.0403333,0.541586721,62196.3,31.1448673,610.8233333,0.455135284,-22.8227,"1016"
"20","1016","1016_g_Xin.Cun.Xi.Lu_china","1016",109.04566,19.271525,"china","xin.cun.xi.lu","hainan","hainan","angry.man","gutturalis",20,"f",10.6,122.8333333,5.55,2.433333333,4.3,77.33333333,16.1,0.296983678,0.383755056,67414.86667,33.75807044,664.7963333,0.371000417,49102.7,24.58823235,623.0996667,0.446072261,13670.73,6.84563345,676.802,0.534651406,61854.87333,30.97389751,653.058,0.371034926,-22.9902,"1015"
"21","1017","1017_g_Xin.Cun.Xi.Lu_china","1017",109.046025,19.272377,"china","xin.cun.xi.lu","hainan","hainan","easy","gutturalis",21,"m",11.03333333,120.3333333,5.183333333,2.433333333,4.2,95.08333333,16.88,0.300838494,0.519390898,139133.8467,69.67143048,656.3566667,0.29804447,93525.19,46.83284427,659.0803333,0.332984185,15698.78667,7.861185111,677.7306667,0.563374122,66109.36667,33.10433984,642.129,0.410688416,-22.4009,NA
"22","1018","1018_g_Xin.Cun.Xi.Lu_china","1018",109.046188,19.273111,"china","xin.cun.xi.lu","hainan","hainan","lucky","gutturalis",22,"m",10.48333333,115,5.4,2.733333333,5.033333333,90.66666667,14.76,0.336638796,0.468740198,91557.93667,45.84773994,602.4503333,0.330881349,92423.15667,46.28099983,622.4333333,0.348909084,13341.24,6.680640961,692.706,0.551448952,67538.22667,33.8198431,655.7716667,0.388107271,-21.6453,NA
"23","1019","1019_g_Xin.Cun.Xi.Lu_china","1019",109.044973,19.272785,"china","xin.cun.xi.lu","hainan","hainan","lizard","gutturalis",23,"f",10.78333333,118,5.666666667,2.883333333,4.433333333,84.08333333,16.81,0.380952589,0.526674313,87840.41667,43.98618761,667.726,0.316007927,104322.4433,52.23958104,645.8133333,0.35392781,16577.81333,8.301358705,681.708,0.573973925,68320.11667,34.2113754,671.0973333,0.420632652,-24.0806,NA
"24","102","VN96101","VN96101",77.655893,53.689314,"russia","karasuk","karasuk","karasuk","single.lady","rustica",24,"f",11.66666667,126.1666667,5.466666667,3.033333333,4.533333333,89.5,23.63,0.314074487,0.405091329,60332.0774,30.21135573,609.4066667,0.349240872,95844.55067,47.99426673,589.7866667,0.342175949,31004.44787,15.5255122,672.7666667,0.511133072,72493.67023,36.30128705,610.18,0.370831778,NA,"unb"
"25","1020","1020_g_Xin.Cun.Xi.Lu_china","1020",109.044973,19.272785,"china","xin.cun.xi.lu","hainan","hainan","lizard","gutturalis",25,"f",10.48333333,115.5,6.2,2.683333333,4.45,75.5,16.3,0.365315048,0.774688265,84451.50333,42.28918544,640.7326667,0.368946082,83693.62,41.90967451,658.4356667,0.382186499,16606.61667,8.315782006,688.0453333,0.568314002,52381.72,26.23020531,661.0956667,0.467833906,-23.2524,NA
"26","1021","1021_g_Nanning.1_china","1021",108.330895,22.791937,"china","nanning","nanning","nanning","angry.lady","gutturalis",26,"m",11.08333333,115.5,4.933333333,2.416666667,3.966666667,80.83333333,13.33,0.257550611,0.802816848,61435.41667,30.76385411,650.0613333,0.370468483,83779.23,41.95254382,691.0306667,0.346468146,13412.30667,6.716227675,671.7656667,0.522692472,57448.39333,28.76734769,666.0763333,0.417619667,-23.3144,"1022"
"27","1022","1022_g_Nanning.1_china","1022",108.330895,22.791937,"china","nanning","nanning","nanning","angry.lady","gutturalis",27,"f",11,115,5.3,2.7,4.183333333,84.66666667,14.72,0.310273931,0.694274065,96783.44,48.46441662,589.169,0.327874733,102939.8467,51.5472442,583.7706667,0.344708123,25398.46333,12.71830913,669.7836667,0.495807283,84025.58,42.07590386,643.408,0.339028941,-22.0575,"1021"
"28","1023","1023_g_Nanning.1_china","1023",108.331188,22.791894,"china","nanning","nanning","nanning","angrier.lady","gutturalis",28,"m",10.63333333,115,5.533333333,2.4,4.4,87,14,0.289666297,0.683833545,54695.73667,27.38895176,631.425,0.391871403,52645.69,26.36238858,634.394,0.456448658,8589.046667,4.300974796,666.4626667,0.541024036,27151.77333,13.59628109,647.04,0.534492787,-26.9275,"1024"
"29","1024","1024_g_Nanning.1_china","1024",108.331188,22.791894,"china","nanning","nanning","nanning","angrier.lady","gutturalis",29,"f",10.13333333,112.1666667,5.45,2.366666667,4.333333333,74.75,13.74,0.309669707,0.602931442,59071.41333,29.58007678,663.398,0.334873474,108134.59,54.14851778,628.4036667,0.330071272,18102.86333,9.06502921,662.075,0.540024207,80592.95,40.35701052,623.8023333,0.352727395,-23.595,"1023"
"30","1025","1025_g_Nanning.1_china","1025",108.33107,22.792653,"china","nanning","nanning","nanning","alone.at.last","gutturalis",30,"f",9.833333333,111.1666667,5.466666667,2.4,4.1,76.25,14.57,0.388319472,0.582862137,87470.38333,43.80089301,667.7326667,0.339926448,78440.11,39.27897346,628.026,0.346383042,15285.24,7.654101152,691.7133333,0.518062212,82431.10333,41.27746787,684.045,0.353498631,-22.3203,"1026"
"31","1026","1026_g_Nanning.1_china","1026",108.33107,22.792653,"china","nanning","nanning","nanning","alone.at.last","gutturalis",31,"m",10.25,121,5.266666667,2.683333333,4.666666667,94.5,14.35,0.273673729,0.65504374,63637.87667,31.86673844,684.6873333,0.373304176,74603.68,37.35787682,672.7313333,0.365186365,13986.87667,7.00394425,681.4076667,0.513195522,57763.45667,28.92511601,624.78,0.421559758,-18.0491,"1025"
"32","1027","1027_g_Nanning.1_china","1027",108.330232,22.792067,"china","nanning","nanning","nanning","double.decker","gutturalis",32,"f",10.36666667,116,5.666666667,2.566666667,4.666666667,73,17.49,0.261299221,0.778701197,64279.21,32.18788683,666.7286667,0.326185767,71977.10667,36.04261726,654.7443333,0.33674872,19251.29,9.640105158,673.1106667,0.533393819,79004.67667,39.56168085,650.4263333,0.367046544,-23.804,"1028"
"33","1028","1028_g_Nanning.1_china","1028",108.330232,22.792067,"china","nanning","nanning","nanning","double.decker","gutturalis",33,"m",9.9,115.8333333,6,2.533333333,4.566666667,88.08333333,13.95,0.26990678,0.654113402,99150.36333,49.64965615,677.735,0.327820604,105490.5733,52.82452345,687.3626667,0.338094257,16883.73333,8.454548489,689.038,0.514798669,102853.8567,51.50418461,613.781,0.364398544,-23.6069,"1027"
"34","1029","1029_g_Nanning.1_china","1029",108.329847,22.791881,"china","nanning","nanning","nanning","bats","gutturalis",34,"m",10,117.1666667,5.366666667,2.766666667,4.9,95.5,14.71,0.308252886,0.738437991,52568.15,26.32356034,607.4813333,0.385468366,95629.61333,47.88663662,657.342,0.363685383,14047.81,7.034456685,686.744,0.544240583,65392.97667,32.74560674,575.5173333,0.411918172,-22.0278,"1030"
"35","103","VN96102","VN96102",77.655314,53.69006,"russia","karasuk","karasuk","karasuk","dogs.garage","rustica",35,"m",12.06666667,129,5.833333333,2.916666667,5.066666667,105.1666667,21.78,0.278077479,0.633663534,90892.94267,45.51474345,617.6833333,0.352261709,68831.44267,34.46742247,639.4333333,0.412497845,21616.82777,10.82465086,667.0566667,0.489519354,86332.559,43.23112619,611.7233333,0.398739566,NA,"VN96300"
"36","1030","1030_g_Nanning.1_china","1030",108.329847,22.791881,"china","nanning","nanning","nanning","bats","gutturalis",36,"f",10.5,108,5.766666667,2.65,4.666666667,75.33333333,12.41,0.479446403,0.856999735,73039.94,36.57483225,639.4673333,0.329215531,82147.91667,41.13566183,645.7963333,0.319103564,18437.58,9.232638958,651.405,0.520623398,66681.95333,33.39106326,611.139,0.360197845,NA,"1029"
"37","1031","1031_g_Nanning.1_china","1031",108.331114,22.791774,"china","nanning","nanning","nanning","gap","gutturalis",37,"f",10.08333333,116,5.8,2.266666667,4.633333333,80.83333333,14.77,0.300476004,0.639559575,75960.59,38.03735103,670.6816667,0.32905571,86607.91,43.36900851,681.0923333,0.34208164,15399.35667,7.711245201,682.405,0.498413733,85956.58333,43.04285595,658.3896667,0.379074084,-20.2386,NA
"38","1032","1032_g_Nanning.2_china","1032",108.318812,22.791301,"china","nanning","nanning","nanning","nice.lady","gutturalis",38,"m",10.36666667,113.8333333,5.25,2.3,4.166666667,86.58333333,15.55,0.252146064,0.656195082,68206.74333,34.15460357,640.138,0.342273728,92766.85333,46.45310633,614.1343333,0.360702168,14967.77667,7.49513103,671.7843333,0.508846832,51738.78333,25.90825405,644.7583333,0.461496776,-22.0717,"1033"
"39","1033","1033_g_Nanning.2_china","1033",108.318812,22.791301,"china","nanning","nanning","nanning","nice.lady","gutturalis",39,"f",10.35,115,5.816666667,2.7,4.5,78.75,13.78,0.300807774,0.667451473,62716.72667,31.40547154,610.1096667,0.374130432,82047.91,41.08558338,629.4083333,0.366542151,17907.29,8.967095643,670.7506667,0.491213542,44668.94333,22.3680237,667.418,0.413767293,NA,"1032"
"40","1034","1034_g_Nanning.2_china","1034",108.319261,22.79186,"china","nanning","nanning","nanning","crowd","gutturalis",40,"f",10.13333333,115.3333333,6.033333333,2.533333333,4.566666667,81.33333333,13.51,0.352562892,0.637647049,59718.37333,29.90404273,673.747,0.343607901,68818.34,34.46086129,597.107,0.371771202,17506.22,8.766259389,675.7946667,0.48470832,38995.16667,19.52687364,666.7286667,0.435202056,NA,NA
"41","1035","1035_g_Nanning.2_china","1035",108.318192,22.791924,"china","nanning","nanning","nanning","chaos","gutturalis",41,"m",10.53333333,114.1666667,5.05,2.683333333,4.066666667,99.25,14.08,0.27782214,0.957536826,54771.24333,27.42676181,610.4526667,0.388065685,77862.9,38.9899349,613.073,0.400668812,16385.61,8.205112669,667.7326667,0.512104512,45812.58667,22.94070439,604.4866667,0.459604965,NA,"1036"
"42","1036","1036_g_Nanning.2_china","1036",108.318192,22.791924,"china","nanning","nanning","nanning","chaos","gutturalis",42,"f",10.23333333,122.3333333,5.566666667,2.683333333,4.5,84.25,15.81,0.263979417,0.870946397,118659.0667,59.41866133,572.8203333,0.32907241,119415.0433,59.79721749,560.5116667,0.327552301,22374.02667,11.20381906,668.1133333,0.538824981,75927.27333,38.02066767,615.4526667,0.343975029,NA,"1035"
"43","1037","1037_g_Nanning.2_china","1037",108.316193,22.791657,"china","nanning","nanning","nanning","bad.fo.real","gutturalis",43,"f",9.766666667,115,5.233333333,2.65,4.233333333,75.5,13.81,0.317580616,0.840030557,83490.43333,41.80792856,616.478,0.324464158,89561.10333,44.8478234,576.496,0.340063818,12089.38667,6.053773994,667.1063333,0.485364811,66911.76333,33.50614088,650.804,0.370178197,NA,NA
"44","1038","1038_g_Xinkang.Village_china","1038",112.805998,28.400245,"china","changsha","changsha","changsha","fishing.net","gutturalis",44,"f",9.783333333,115,5.233333333,2.416666667,4.266666667,74.83333333,15.53,0.332536379,0.837693767,89928.22333,45.03165916,622.807,0.334257315,100219.3,50.18492739,616.685,0.331205079,18234.36333,9.130877984,676.3886667,0.530164851,77772.75333,38.94479386,600.0543333,0.362595079,-23.7933,"1047"
"45","1039","1039_g_Xinkang.Village_china","1039",112.807309,28.401219,"china","changsha","changsha","changsha","scared.birds","gutturalis",45,"m",10.86666667,118,5.9,2.7,4.833333333,89.58333333,15.07,0.373678702,0.550772515,80937.52333,40.529556,575.8436667,0.376596729,85272.7,42.7004006,554.4233333,0.368153691,12143.60667,6.08092472,685.4343333,0.525180933,67412.65,33.75696044,588.4706667,0.418732926,-23.1618,"1040"
"46","104","VN96103","VN96103",77.655419,53.689814,"russia","karasuk","karasuk","karasuk","ginger.cat","rustica",46,"f",11.96666667,125.6666667,5.383333333,2.4,4.466666667,84.83333333,19.58,0.234484729,0.847336581,97246.47967,48.69628426,642.77,0.33224452,106410.5993,53.28522751,624.7766667,0.351910377,33921.3781,16.9861683,656.43,0.477233972,91646.33133,45.89200367,634.4533333,0.36944887,NA,"VN96104"
