"","band","date","location","sex","rwl.mean","rts.mean","lts.mean","tail.mean","tarsus.mean","bill.length.mean","bill.depth.mean","bill.width.mean","weight","primary1","primary2","primary3","primary4","primary5","primary6","primary7","primary8","primary9","date2","b.avg.bright","b.chrom","b.hue","b.total.bright","r.avg.bright","r.chrom","r.hue","r.total.bright","t.avg.bright","t.chrom","t.hue","t.total.bright","v.avg.bright","v.chrom","v.hue","v.total.bright"
"1","183113469","8/18/15","cargill","F",120.3333333,83.33333333,83.83333333,83.58333333,11.56666667,5.733333333,2.9,4.583333333,18.15,NA,93,86,79,74,68,62,56,49,81015,32.8215892672342,0.406110365151675,650.806666666667,65544.7137666667,39.8636509764647,0.390079827506157,643.406666666667,79607.711,23.9771271407111,0.472650212651305,643.726666666667,47882.3229,28.373269921549,0.450652525862911,660.02,56661.4200333333
"2","251104833","2/28/15","mayas","F",119.5,NA,81,81,10.96666667,5.816666667,2.966666667,4.65,17.09,93,92,87,81,76,71,65,59,55,82815,26.4596899515941,0.448818445120137,626.48,52840.0008333333,29.254176748456,0.444737920528163,626.48,58420.5909666667,15.7387639459189,0.539477796765982,681.4,31430.3116,25.4100047738274,0.460980044189127,626.8,50743.7795333333
"3","260027318","8/18/15","cargill","F",115.5,79.33333333,78,78.66666667,10.46666667,5.716666667,2.566666667,4.033333333,15.71,91,90,85,78.5,73,66,61,55,48.5,81815,43.0310944917376,0.332998031422642,610.18,85933.0957,24.4550470872976,0.486712714410519,610.18,48836.7290333333,14.3135625771991,0.539810253384225,633.42,28584.1844666667,27.0235083291604,0.477007299970808,599.163333333333,53965.9461333333
"4","260027353","2/28/15","mayas","M",127.1666667,NA,NA,NA,11.76666667,6.466666667,3.3,4.95,20.8,100,99,91,84,78.5,71,65,59,54,82815,26.9325520113504,0.461684400933678,609.793333333333,53784.3063666667,28.1997125354699,0.419543338200218,632.143333333333,56314.8259333333,14.4669104490068,0.514620014806668,659.393333333333,28890.4201666667,18.1523420297112,0.546367502766661,687.8,36250.2270333333
"5","260027665","8/19/15","cargill","M",127.3333333,104,NA,104,10.4,5.5,2.966666667,4.933333333,18,96,95,88,80.5,76,70,63.5,57,51,81815,19.1085789350693,0.509034244340328,610.5,38159.8321333333,23.8570384243031,0.491046485313742,633.453333333333,47642.5057333333,11.5175091470539,0.55494532143566,682.75,23000.4657666667,19.2824941078284,0.522920646187549,638.113333333333,38507.1407333333
"6","260027679","8/28/15","mayas","F",121.8333333,82,83.33333333,82.66666667,11.13333333,5.966666667,2.766666667,4.95,18.53,96,95,89,83,77,71,65,58,52.5,82815,34.4664764813888,0.405294013614503,583.69,68829.5535333333,31.2928757135704,0.451720167985425,631.1,62491.8728,16.8615763144717,0.527527406914491,671.103333333333,33672.5679,28.0058705224503,0.456025258070956,638.426666666667,55927.7234333333
"7","260027714","2/28/15","mayas","M",120.1666667,90.33333333,NA,90.33333333,11,6.233333333,2.833333333,5,19,93,92.5,87,80,75,68.5,63,57,52,82815,15.0788567684861,0.511629579195458,659.08,30112.4769666667,17.4981721415457,0.466049758236682,626.48,34943.8497666667,14.2905044733767,0.528061220190236,672.106666666667,28538.1374333333,19.8411140377233,0.542183791944446,676.743333333333,39622.7047333333
"8","260027772","2/28/15","mayas","M",118.3333333,NA,NA,NA,10.93333333,6.183333333,3.133333333,4.966666667,17.27,94,90,85,79.5,74,66.5,61,55,47,82815,23.2468051076615,0.467806326430868,598.126666666667,46423.8698,27.2480319813053,0.460520484714435,619.456666666667,54414.3198666667,11.5470124019362,0.566522566946665,647.433333333333,23059.3837666667,15.1400952929394,0.533999402422507,643.726666666667,30234.7703
"9","260054720","2/28/15","mayas","F",117.1666667,NA,NA,NA,11.06666667,6.133333333,2.9,4.933333333,15.72,93,90,86,80.5,76,68,64,56,50,82815,20.1147069771324,0.459399238286702,626.48,40169.0698333333,21.1703613753964,0.478346338615084,659.08,42277.2116666667,13.3146456518111,0.508581445575869,659.76,26589.3473666667,22.9533087631447,0.514898471317764,637.803333333333,45837.7576
"10","260054799","2/28/15","mayas","F",117.8333333,82.66666667,85.16666667,83.91666667,10.73333333,6.033333333,3.083333333,4.9,17.35,92,90,84,77,72,66,60,54.5,49,82815,23.216239108663,0.459743590135592,672.733333333333,46362.8295,26.7265570188616,0.413920600424354,588.7,53372.9343666667,16.4991427808379,0.521370803858657,673.48,32948.7881333333,22.5493012184944,0.478751303309449,658.14,45030.9545333333
