"","band","sex","location","lat","long","date","rwl.mean","lts.mean","rts.mean","tail.mean","weight","tarsus.mean","bill.length.mean","bill.depth.mean","bill.width.mean","primary1","primary2","primary3","primary4","primary5","primary6","primary7","primary8","primary9","mate.id","date2","b.avg.bright","b.chrom","b.hue","b.total.bright","r.avg.bright","r.chrom","r.hue","r.total.bright","t.avg.bright","t.chrom","t.hue","t.total.bright","v.avg.bright","v.chrom","v.hue","v.total.bright"
"1","1601","M","Fish.Farm",31.413656,31.567402,"4/6/15",117.6666667,99.33333333,97.83333333,98.58333333,14.8,9.966666667,5.8,2.7,4.683333333,93,91,85,78.5,72,62.5,56,48,46,NA,40615,12.4641468202303,0.492813497961004,673.383333333333,24890.9012,10.7425852612252,0.486764193367219,687.736666666667,21452.9427666667,10.084528275747,0.480020134040901,684.066666666667,20138.8029666667,13.3654961442163,0.477386423422185,670.79,26690.8958
"2","1602","F","Fish.Farm",31.413656,31.567402,"4/6/15",120.3333333,82,80,81,12.7,10.76666667,5.333333333,2.8,4.3,96,95,86,79,75,67,62,56,51,NA,40615,24.9288447337673,0.465938384694835,674.68,49782.9029333333,22.5361201802704,0.43745226750842,651.436666666667,45004.632,12.8474774328159,0.461097968550135,674.75,25656.4124333333,NA,NA,NA,NA
"3","1603","F","Fish.Farm",31.413656,31.567402,"4/6/15",113.5,75.83333333,75,75.41666667,15.62,10.96666667,5.366666667,2.683333333,4.2,87,86.5,80,75,70,65,61,56,50.5,NA,40615,14.645055700217,0.496946717896433,659.393333333333,29246.1762333333,17.9781950759473,0.472332675822605,659.08,35902.4555666667,12.4056036554832,0.463968088916465,650.433333333333,24773.9905,NA,NA,NA,NA
"4","1604","F","Fish.Farm",31.413656,31.567402,"4/6/15",125,89,NA,89,15.24,11.53333333,5.533333333,2.833333333,4.466666667,100,96,89,83,77,71,65.5,58.5,52,NA,40615,13.584849941579,0.499374296645455,674.753333333333,27128.9453333333,17.4356729761309,0.455519445586923,681.38,34819.0389333333,10.9527964613587,0.517874666905305,669.07,21872.7345333333,NA,NA,NA,NA
"5","1605","M","Fish.Farm",31.413656,31.567402,"4/6/15",117.5,NA,97.33333333,97.33333333,14.77,11.11666667,5.1,2.766666667,4.333333333,92,90,85,80,74,68,63,57,51,NA,40615,11.3856809547655,0.499875751557058,670.476666666667,22737.2048666667,11.8004767317643,0.478017438873144,677.74,23565.5520333333,8.21262987815056,0.502855259768353,670.746666666667,16400.6218666667,NA,NA,NA,NA
"6","1606","M","Fish.Farm",31.413656,31.567402,"4/6/15",122.3333333,NA,111.1666667,111.1666667,13.69,10.06666667,5.8,2.766666667,4.733333333,97,96,89,81,76,70,63.5,59,51,NA,40615,18.4431668502754,0.462537581463683,626.48,36831.0042,17.5425397596395,0.432073333030751,666.726666666667,35032.4519,10.6377186279419,0.482336395419546,660.4,21243.5241,NA,NA,NA,NA
"7","1607","F","Hooray",31.407243,31.785907,"4/6/15",120.6666667,84.33333333,81.5,82.91666667,17.26,11.06666667,5.7,2.766666667,4.616666667,93,90,85,78,72,67,62,56,50,"1608",40615,16.2676909864797,0.481971753080627,667.8,32486.5789,16.30967629778,0.482913164049955,648.073333333333,32570.4235666667,14.0204104490068,0.497686009647892,686.05,27998.7596666667,13.5334790352195,0.462349010702212,678.793333333333,27026.3576333333
"8","1608","M","Hooray",31.407243,31.785907,"4/6/15",118.8333333,NA,83.66666667,83.66666667,NA,11.38333333,5.6,2.7,4.933333333,91.5,91,85,78,72.5,68,63,57,50.5,"1607",40615,19.7787316140878,0.44455278461548,644.106666666667,39498.1270333333,14.3075548823235,0.501976798219381,652.073333333333,28572.1871,8.49196035720247,0.500318694878125,668.736666666667,16958.4448333333,11.3169207310966,0.489456111857362,674.44,22599.8907
"9","1609","F","Crazy.Kids",31.407243,31.785907,"4/6/15",116.5,84.66666667,82,83.33333333,15.14,10.68333333,5.333333333,2.85,4.466666667,90,90,85,78.5,74,68.5,64,58,51,NA,40615,14.1550725922217,0.492836522389863,638.426666666667,28267.6799666667,14.7582686529795,0.495090532904205,662.04,29472.2625,8.56439889834752,0.503082143995366,682.47,17103.1046,11.1574355867134,0.497083247855822,676.706666666667,22281.3988666667
"10","1610","F","Crazy.Kids",31.407243,31.785907,"4/6/15",122,95.33333333,94.16666667,94.75,16.4,10.23333333,6.1,2.85,4.833333333,95,94,87.5,82,77,70.5,64,59,54,NA,40615,10.3639761642464,0.516835860332181,678.393333333333,20696.8604,10.5666139208813,0.483668601404848,681.06,21101.528,7.82535324653647,0.482915146143111,680.743333333333,15627.2304333333,12.7038627107328,0.485876013391084,682.433333333333,25369.6138333333
"11","1611","M","Crazy.Kids",31.407243,31.785907,"4/6/15",123.8333333,98.66666667,94.5,96.58333333,15.04,11.2,5.733333333,2.7,4.516666667,95,93,85,79,74,68,62.5,57,50.5,NA,40615,8.57425222834251,0.51864958895166,680.45,17122.7817,13.6620113169755,0.484896520540805,681.373333333333,27283.0366,6.38069023535303,0.468759860007676,672.446666666667,12742.2384,10.9152508763145,0.489836441493714,663.74,21797.756
"12","1612","M","Crazy.Kids",31.407243,31.785907,"4/6/15",117.5,111.1666667,109,110.0833333,16.21,10.76666667,5.8,2.966666667,4.733333333,92,90,85,78.5,73,68,62.5,58,51,NA,40615,9.28313421799366,0.465823731940961,669.403333333333,18538.4190333333,8.06830772825906,0.477191611304606,666.723333333333,16112.4105333333,6.34305302954432,0.469869179760298,684.376666666667,12667.0769,10.3624793690536,0.465715210471538,686.743333333333,20693.8713
"13","1613","M","Crazy.Kids",31.407243,31.785907,"4/6/15",121.3333333,106.3333333,105,105.6666667,16,10.46666667,5.45,2.783333333,4.433333333,93,92,85,79.5,72.5,67,61,56,50,NA,40615,15.3134454348189,0.478017553753023,657.446666666667,30580.9505333333,13.1985206810215,0.475291289444686,674.44,26357.4458,10.1744350358872,0.485732846743773,667.8,20318.3467666667,11.3837518110499,0.49402330552833,667.73,22733.3523666667
"14","1614","M","Stairwell",31.428566,31.803426,"4/6/15",118.3333333,94.66666667,95.5,95.08333333,15.98,10.26666667,5.316666667,2.8,4.166666667,93.5,92.5,87,80,75,69,64,58.5,52,"1615",40615,11.4001328492739,0.525097110094882,658.433333333333,22766.0653,14.2585930228676,0.49113036622628,660.753333333333,28474.4102666667,8.4568391420464,0.506727999150941,644.803333333333,16888.3077666667,11.319821615757,0.509157012965621,648.066666666667,22605.6837666667
"15","1615","F","Stairwell",31.428566,31.803426,"4/6/15",120.6666667,90.66666667,84,87.33333333,14.35,10.28333333,5.433333333,3.033333333,4.633333333,96,94,88,82.5,76,70,64,60,54,"1614",40615,13.2809926222667,0.496908318541948,650.746666666667,26522.1422666667,18.885057903522,0.473672417172079,667.42,37713.4606333333,17.2447556167585,0.464634872153274,671.1,34437.7769666667,15.4944126690035,0.484159835231605,674.06,30942.3421
"16","1616","F","Chicken.Coop",31.413945,31.5664,"4/8/15",122,88.16666667,89.16666667,88.66666667,15.74,10.36666667,6.333333333,2.85,4.966666667,96,94,89,83,77.5,72,66,61,54,"1617",40815,18.144495993991,0.481698309172475,651.45,36234.5585,14.9829628275747,0.485193173632178,681.12,29920.9767666667,8.42030415623435,0.515118164143246,678.416666666667,16815.3474,14.711592605575,0.481023443105032,675.056666666667,29379.0504333333
"17","1617","M","Chicken.Coop",31.413945,31.5664,"4/8/15",123.3333333,112.8333333,109,110.9166667,16.64,10.06666667,5.7,2.633333333,4.733333333,96,95,89,83,78,71,65,59,53,"1616",40815,13.7304603572025,0.501009059085079,659.786666666667,27419.7293333333,13.4607163745618,0.479427128445145,665.383333333333,26881.0506,9.02144700383909,0.527996519238149,657.096666666667,18015.8296666667,10.2474819061926,0.503165591482197,684.43,20464.2213666667
"18","1618","M","Bats.Ahoy",31.41493,31.566259,"4/8/15",114,80,79,79.5,15.45,10.5,5.6,2.766666667,4.666666667,89,87,82.5,76,71.5,67,60,54,50,NA,40815,13.4287690535804,0.475635455588457,688.423333333333,26817.2518,16.6962617759973,0.446922170801246,668.07,33342.4347666667,11.565331547321,0.487157389261108,685.733333333333,23095.9671,11.693188315807,0.501390856424185,662.08,23351.2970666667
"19","1619","M","Bats.Ahoy",31.41493,31.566259,"4/8/15",118.6666667,99,99,99,17.05,10.36666667,5.833333333,3.1,4.566666667,93,92,86,80,74,69,63.5,58,52,NA,40815,14.7673622266733,0.454309016476936,642.11,29490.4223666667,14.9886465698548,0.463621712765117,656.47,29932.3272,8.26745322984477,0.478113696085948,675.79,16510.1041,12.0673780504089,0.495459677726781,677.76,24098.5539666667
"20","1620","M","Bats.Ahoy",31.41493,31.566259,"4/8/15",118.1666667,87.66666667,85,86.33333333,15.06,10.96666667,5.4,2.866666667,4.333333333,92,92,85,79,73,67,62,56,50,NA,40815,17.0022169086964,0.481256412614323,671.426666666667,33953.4271666667,18.9105382240027,0.467188049644837,670.743333333333,37764.3448333333,9.99813745618428,0.511829245591252,653.08,19966.2805,11.7101206977132,0.49852198048293,682.163333333333,23385.1110333333
