"","band","sex","location","date","rwl.mean","rts.mean","lts.mean","tail.mean","weight","bill.length.mean","bill.width.mean","bill.depth.mean","primary1","primary2","primary3","primary4","primary5","primary6","primary7","primary8","primary9","t.total.bright","t.avg.bright","t.hue","t.chrom","r.total.bright","r.avg.bright","r.hue","r.chrom","b.total.bright","b.avg.bright","b.hue","b.chrom","v.total.bright","v.avg.bright","v.hue","v.chrom","mate.id"
"1","X242001","F","amiad","2/5/15",119,79.83,80.17,80,NA,6.23,5.83,2.63,95,92,87,82,75,68.5,65,59,51,13699.02303,6.859801218,668.0733333,0.528033934,39731.22527,19.89545582,643.4066667,0.471194475,61132.52907,30.61218281,654.4433333,0.385347105,28454.18707,14.24846623,662.4166667,0.496138762,"X242002"
"2","X242002","M","amiad","2/4/15",121.5,110,110,110,18.58,5.9,5.73,2.93,101,96,90,84,75,71,68,57,50,18055.73817,9.04143123,677.0466667,0.467312592,24497.2589,12.26702999,660.4,0.516222309,31834.28807,15.94105562,660.4,0.485020389,28699.7771,14.37144572,660.02,0.48699105,"X242001"
"3","X242003","M","amiad","2/4/2015",124.67,107.83,106,106.92,18.66,6.3,5.67,2.57,100,94,89,82,76,70,60,58,52,15079.56723,7.551110282,688.4833333,0.427613184,46373.10817,23.22138616,625.7166667,0.438144478,49820.16467,24.94750359,608.7566667,0.41667591,43506.2156,21.78578648,692.09,0.502269095,"X242004"
"4","X242004","F","amiad","2/4/15",124,89.67,89,89.33,17.93,6.37,5.93,2.9,98,96,88,82,76,71,64,60,50,23507.8304,11.77157256,670.0966667,0.500764289,74594.51133,37.3532856,627.8133333,0.408333233,54942.48847,27.512513,643.7266667,0.408991953,48477.58733,24.27520648,661.16,0.470268099,"X242003"
"5","X242005","F","amiad","2/4/15",117.67,84,84.83,84.42,17.04,6.27,5.67,2.57,97,92,86,80,74,67.5,63,56,51,25125.78647,12.58176588,643.4066667,0.497253145,34263.2909,17.15738152,643.7266667,0.461588692,49779.36863,24.92707493,674.37,0.445733099,35582.70253,17.81807838,674.68,0.497713903,"Y73190"
"6","X242006","M","amiad","2/4/15",121,115.5,114.33,114.92,19.36,6.1,5.9,2.87,103,96,90,84,77,72,65,61,52,18379.65473,9.203632816,679.4133333,0.487294529,37322.24757,18.68915752,660.4,0.488271096,38022.99607,19.04005812,660.4,0.41562817,90298.80467,45.21722818,658.3866667,0.39397021,"X242007"
"7","X242007","F","amiad","2/4/15",126.83,93,88.83,90.92,18.53,6.03,5.7,2.77,108,97,91,84,79,72,67,58,51,29703.8499,14.8742363,642.1366667,0.503020213,78026.979,39.07209765,643.7933333,0.369023906,92090.93733,46.11464063,604.4766667,0.362494628,76022.58067,38.06839292,608.1033333,0.385617335,"X242006"
"8","X242008","M","amiad","2/5/15",124.67,102.17,NA,102.17,19.43,5.7,5.63,2.77,102,97,91,81,76,71,66,59,51,18109.72933,9.068467368,669.7166667,0.454883961,38221.09067,19.13925421,660.78,0.467808368,34837.87097,17.44510314,643.4066667,0.486434754,38807.2241,19.43276119,686.7433333,0.448909548,NA
"9","X242009","F","amiad","2/5/15",124,85,86.67,85.83,18.85,6.1,5.6,2.7,100,96,89,82,78,71,64,56,51,16144.715,8.084484226,679.4133333,0.50636118,53988.29467,27.03469938,674.68,0.395492176,87326.01167,43.72859873,685.37,0.352832688,48304.45267,24.1885091,643.7866667,0.44420564,NA
"10","X242010","M","amiad","2/5/15",122,106,107.5,106.75,18.3,6.43,5.67,2.67,101,94,88,81,77,70,65,57,52,25787.68937,12.91321451,690.4766667,0.529903798,37170.91433,18.61337723,643.7866667,0.479135904,47222.8474,23.64689404,651.0666667,0.416476447,41208.08797,20.63499648,644.1066667,0.494410643,"X242011"
