"","date","location","gps","lat","long","sex","band","rwl.mean","rts.mean","lts.mean","tail.mean","tarsus.mean","bill.length.mean","bill.depth.mean","bill.width.mean","b.total.bright","b.avg.bright","b.hue","b.chrom","r.total.bright","r.avg.bright","r.hue","r.chrom","t.total.bright","t.avg.bright","t.hue","t.chrom","v.total.bright","v.avg.bright","v.hue","v.chrom","primary1","primary2","primary3","primary4","primary5","primary6","primary7","primary8","primary9","weight","mate.id"
"1","4/20/16","Agadir","first.one",30.052763,-9.649498,"f","1901",117,81.66666667,NA,81.66666667,10.58333333,5.266666667,2.866666667,4.833333333,98895.12267,49.5218441,626.48,0.33636904,72882.827,36.49615774,643.0933333,0.386757902,36731.68953,18.39343492,669.75,0.516527045,64207.10767,32.15178151,626.0933333,0.43099619,92,91.5,86,80,74,68,61,54,48,18.68,NA
"2","4/20/16","Agadir","pb",30.052916,-9.649945,"m","1902",125.8333333,92.16666667,92,92.08333334,10.46666667,5.816666667,2.816666667,4.716666667,102858.8493,51.50668469,599.15,0.372377473,107186.7537,53.67388766,607.79,0.361510682,19460.41413,9.744824303,687.3633333,0.52323271,77486.088,38.80124587,603.1466667,0.40706427,100,96.5,89.5,82,76,70,63.5,58,51,17.49,NA
"3","4/20/16","Agadir","retinue",30.05291,-9.650981,"f","1903",119.6666667,92.5,90.83333333,91.66666667,10.8,5.866666667,2.766666667,4.9,136894.572,68.55011117,578.8,0.330421217,128425.1257,64.30902637,585.81,0.330538,52226.48567,26.15247154,636.49,0.401185842,110935.3213,55.55098715,681.08,0.283525657,93,90,85.5,78,72.5,66.5,60,54,47,20.69,NA
"4","4/20/16","Agadir","retinue",30.05291,-9.650981,"m","1904",120.1666667,106,102,104,10.6,5.533333333,2.9,4.883333333,95190.61533,47.66680788,626.48,0.349298196,103853.0653,52.00453948,610.18,0.350451371,33225.09567,16.63750409,643.4066667,0.452559325,101803.973,50.97845418,626.48,0.341866822,96,94,88,81,75,NA,64,58,51,17.32,NA
"5","4/20/16","Agadir","too.slow",30.053336,-9.651466,"f","1905",119.1666667,83.66666667,83,83.33333334,10.78333333,6.066666667,2.966666667,4.8,156363.329,78.29911317,612.59,0.31525396,111058.3623,55.61260007,624.7766667,0.33788661,34020.14783,17.03562736,647.82,0.50750256,104055.779,52.10604857,639.78,0.351569173,93,93,87.5,81,75,69,64,57.5,51,20.78,NA
"6","4/20/16","Agadir","reflexes",30.053363,-9.651995,"m","1906",127.5,101.8333333,101,101.4166667,10.8,5.716666667,2.95,4.9,156363.329,78.29911317,612.59,0.31525396,111058.3623,55.61260007,624.7766667,0.33788661,34020.14783,17.03562736,647.82,0.50750256,104055.779,52.10604857,639.78,0.351569173,101,98,92,85,78.5,71,64.5,59,52,NA,NA
"7","4/20/16","Agadir","double.trouble",30.033109,-9.656175,"m","1907",125.6666667,109.8333333,105.3333333,107.5833333,10.85,6.4,2.933333333,4.9,145862.0847,73.04060324,661.4733333,0.301215318,135426.7807,67.815113,681.78,0.330191511,36187.88787,18.12112562,690.7833333,0.476175798,78856.47833,39.48747037,661.4733333,0.320683309,98,96,90,84,77,70.5,65,58,51.5,19.87,"1908"
"8","4/20/16","Agadir","double.trouble",30.033109,-9.656175,"f","1908",124.3333333,93,92.16666667,92.58333334,10.53333333,6.266666667,3.116666667,5.233333333,99533.28433,49.84140427,644.1666667,0.335887772,134459.033,67.33051227,646.1233333,0.329415036,43953.09233,22.00956051,692.09,0.447124765,88771.65167,44.45250459,655.11,0.351601414,98,96,89.5,82.5,76,70,64.5,58,52,21.23,"1907"
"9","4/20/16","Agadir","fledgies",30.032983,-9.655725,"f?","1909",125.5,102.3333333,108.8333333,105.5833333,10.7,5.866666667,3.033333333,5.333333333,111771.874,55.96989184,661.16,0.356011042,107407.3183,53.78433567,661.16,0.356843376,37456.63483,18.75645209,661.16,0.459842827,93414.08833,46.77720998,644.1066667,0.385457066,97,95,90,83,77,70,64,56.5,51,20.94,NA
"10","4/20/16","Agadir","fledgies",30.032983,-9.655725,"f","1910",120.6666667,91.33333333,90.5,90.91666667,10.36666667,5.816666667,2.883333333,4.666666667,133490.917,66.84572709,561.17,0.321735753,139538.552,69.87408713,575.7933333,0.331375382,25885.23937,12.96206278,653.4133333,0.453503242,102386.5647,51.27018761,625.7066667,0.3375234,95,95,90,83,76,70,65,58,51,16.97,NA
"11","4/20/16","Agadir","bunting",30.032689,-9.655086,"f","1911",119.5,87,85,86,11.06666667,5.883333333,3,5.166666667,136230.3355,68.21749399,592.925,0.329410382,119385.0717,59.78220915,597.7433333,0.327859369,24995.74507,12.5166475,674.44,0.48125569,87701.074,43.91641162,660.02,0.346380558,91,90.5,85,79,73,67,63,55,50,21.83,NA
"12","4/21/16","Agadir","seis",30.032481,-9.655982,"m?","1912",122.3333333,100.8333333,99.33333333,100.0833333,11.03333333,6.1,2.933333333,5.25,168474.022,84.36355633,661.73,0.30022674,112327.3203,56.24803221,607.1433333,0.346073866,37982.38567,19.01972242,651.4233333,0.463597529,88041.636,44.08694842,607.7866667,0.336148622,95,94,87.5,82,75.5,71,64,58,51,16.4,NA
"13","4/21/16","Agadir","seis",30.032481,-9.655982,"f","1913",121.3333333,84,82,83,10.26666667,6.333333333,2.983333333,5.266666667,131540.5917,65.86909948,643.4066667,0.33014683,126773.5533,63.48199967,660.02,0.323668385,37667.7152,18.86215083,660.02,0.469223678,131367.1343,65.78224053,643.7266667,0.318478062,96,94,89,82,77,70,65,59,53,17.45,NA
"14","4/21/16","Agadir","seis",30.032481,-9.655982,"m","1914",126.1666667,110,109.1666667,109.5833334,10.9,6.2,2.933333333,5.266666667,138482.8507,69.3454435,655.1233333,0.315220652,142602.227,71.40822584,618.1633333,0.307712391,27809.27993,13.92552826,643.1,0.486498715,102828.419,51.49144667,635.4466667,0.344124781,100,96,89,83,78,72,66,61,54.5,17.63,NA
"15","4/21/16","Agadir","seis",30.032481,-9.655982,"m","1915",128.5,NA,107.3333333,107.3333333,10.3,5.516666667,2.833333333,4.65,79608.21733,39.86390452,643.4066667,0.401145276,81983.04067,41.05309998,626.7933333,0.40699465,18160.0461,9.093663545,660.02,0.495257804,48920.3315,24.49691112,643.4066667,0.486898841,101,97.5,90,83.5,78,71,65,59,52,17.33,NA
"16","4/21/16","Agadir","seis",30.032481,-9.655982,"f?","1916",123.8333333,NA,93.83333333,93.83333333,10.03333333,5.733333333,2.9,4.833333333,90933.804,45.53520481,552.52,0.364618311,109506.2447,54.8353754,587.82,0.334991414,31104.6265,15.57567677,650.4333333,0.454255181,89088.676,44.61125488,552.19,0.382730263,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.52,NA
"17","4/21/16","Agadir","seis",30.032481,-9.655982,"m","1917",128.1666667,108.8333333,NA,108.8333333,10.8,6.4,3.1,5.3,114594.368,57.38325889,609.4066667,0.362229925,95986.201,48.0651983,590.7933333,0.391976137,21024.13023,10.5278569,677.7366667,0.547961081,67447.34333,33.77433317,618.0666667,0.453630754,101,98,91,84.5,79,73,66,61,54,19.11,NA
"18","4/21/16","Agadir","suspicious",30.032481,-9.655982,"m","1918",126.3333333,104,100,102,10.36666667,5.566666667,2.733333333,4.233333333,148782.0187,74.50276348,632.1133333,0.306921832,165244.166,82.7462023,648.7733333,0.292956548,51943.549,26.01079069,660.02,0.419933751,131742.0393,65.96997463,660.02,0.316594425,99,96,90,82,77,71,65.5,60,54,18,NA
