band,date,patch,total.bright,avg.bright,hue,chrom,unique.id
D1,61913,b,52375.35467,26.22701786,642.7066667,0.310093443,D1.61913
D1,61913,r,74237.37667,37.17445001,643.7866667,0.314984048,D1.61913
D1,61913,t,26365.26547,13.20243639,653.4233333,0.479438477,D1.61913
D1,61913,v,59231.01067,29.65999533,646.7433333,0.304096219,D1.61913
D2,61913,b,90855.48267,45.49598531,607.48,0.355161207,NA
D2,61913,r,100648.8813,50.40004073,657.68,0.342371563,NA
D2,61913,t,17205.23737,8.615541996,684.0666667,0.531263984,NA
D2,61913,v,112631.5127,56.40035687,571.84,0.337183451,NA
D3,62413,b,82836.00933,41.480225,611.1233333,0.343226589,D3.62413
D3,62413,r,105034.5283,52.5961584,567.8466667,0.332256643,D3.62413
D3,62413,t,31226.2173,15.6365635,668.4066667,0.475204688,D3.62413
D3,62413,v,46054.471,23.06182824,626.7266667,0.472365019,D3.62413
NB001,70213,b,43179.95807,21.62241265,660.02,0.458274125,NB001.70213
NB001,70213,r,29104.2943,14.57400816,660.02,0.498627476,NB001.70213
NB001,70213,t,22853.98547,11.44415897,678.7866667,0.490065065,NB001.70213
NB001,70213,v,28788.49923,14.41587343,659.7066667,0.475224559,NB001.70213
NB002,70213,b,73119.95967,36.45062795,584.07,0.41112159,NB002.70213
NB002,70213,r,55202.977,27.5189317,675.11,0.417898748,NB002.70213
NB002,70213,t,25633.12447,12.77822755,668.78,0.494677761,NB002.70213
NB002,70213,v,26720.38527,13.32023194,685.16,0.542044756,NB002.70213
NB003,70213,b,31343.11783,15.69510157,626.0933333,0.472827877,NB003.70213
NB003,70213,r,47748.961,23.91034602,626.4066667,0.392041654,NB003.70213
NB003,70213,t,19746.1795,9.887921632,660.02,0.472000752,NB003.70213
NB003,70213,v,35724.04023,17.8888534,660.02,0.491491846,NB003.70213
NB004,70213,b,44707.2911,22.38722639,611.14,0.470688868,NB004.70213
NB004,70213,r,38627.7533,19.34289099,651.7733333,0.524387958,NB004.70213
NB004,70213,t,25253.20287,12.64556979,682.8066667,0.531804218,NB004.70213
NB004,70213,v,41358.69933,20.71041529,650.38,0.491374235,NB004.70213
NB005,70213,b,57503.42253,28.66571412,659.5,0.452961862,NB005.70213
NB005,70213,r,51160.29167,25.50363493,646.7433333,0.433963516,NB005.70213
NB005,70213,t,33359.29493,16.62975819,670.0833333,0.479694215,NB005.70213
NB005,70213,v,39875.49073,19.87811103,683.17,0.453972181,NB005.70213
NB006,70213,b,64099.06167,32.09767735,588.48,0.41456833,NB006.70213
NB006,70213,r,74310.707,37.21117026,647.4466667,0.390964217,NB006.70213
NB006,70213,t,26137.58703,13.08842616,684.1266667,0.51286397,NB006.70213
NB006,70213,v,33489.9174,16.77011387,662.1,0.481523045,NB006.70213
NB007,70213,b,53031.5649,26.55561587,619.5166667,0.441118283,NB007.70213
NB007,70213,r,29382.4165,14.71327817,645.0966667,0.51287317,NB007.70213
NB007,70213,t,34487.16073,17.26948459,681.41,0.487673825,NB007.70213
NB007,70213,v,38227.42377,19.14242552,620.1566667,0.494311392,NB007.70213
NB008,70213,b,37974.385,19.01571607,643.4066667,0.458749544,NB008.70213
NB008,70213,r,48917.74767,24.49561726,644.1666667,0.466077783,NB008.70213
NB008,70213,t,24807.57687,12.42242207,660.02,0.481202043,NB008.70213
NB008,70213,v,22608.54177,11.32125276,660.02,0.516040185,NB008.70213
NB009,70213,b,60365.74883,30.09259663,646.7966667,0.40319819,NB009.70213
NB009,70213,r,62576.87333,31.19485211,628.4333333,0.431453836,NB009.70213
NB009,70213,t,30975.31747,15.44133473,616.7633333,0.45069663,NB009.70213
NB009,70213,v,50736.71343,25.29247928,663.4333333,0.454646685,NB009.70213
NB010,70213,b,70818.80433,35.30349169,620.3833333,0.416274538,NB010.70213
NB010,70213,r,49262.16023,24.55740789,655.7166667,0.478680166,NB010.70213
NB010,70213,t,24692.9359,12.30953933,655.1333333,0.496470579,NB010.70213
NB010,70213,v,38643.83917,19.2641272,648.7533333,0.49192292,NB010.70213
NB011,70813,b,26552.22427,13.29605622,654.1133333,0.481299671,NB011.70813
NB011,70813,r,41812.42767,20.93762026,692.4,0.491620877,NB011.70813
NB011,70813,t,30355.80773,15.20070492,690.4133333,0.492373374,NB011.70813
NB011,70813,v,36943.6899,18.49959434,673.7366667,0.475891781,NB011.70813
NB012,70813,b,39806.4273,19.8436826,635.4566667,0.474463004,NB012.70813
NB012,70813,r,39555.7552,19.71872144,677.48,0.458080947,NB012.70813
NB012,70813,t,8644.885827,4.30951437,669.4333333,0.596340996,NB012.70813
NB012,70813,v,37590.51643,18.73904109,656.8,0.481950398,NB012.70813
NB013,70813,b,56301.65413,28.06662719,628.08,0.444601749,NB013.70813
NB013,70813,r,77968.18,38.86748754,651.4266667,0.369080831,NB013.70813
NB013,70813,t,24599.72787,12.26307471,687.4433333,0.509987485,NB013.70813
NB013,70813,v,34284.24743,17.09085116,654.0666667,0.477935519,NB013.70813
NB014,70813,b,39119.65827,19.58921295,636.4233333,0.487242541,NB014.70813
NB014,70813,r,33120.47023,16.58511279,691.0966667,0.492681817,NB014.70813
NB014,70813,t,19633.16417,9.831329077,690.1033333,0.505066932,NB014.70813
NB014,70813,v,40534.88733,20.2978905,680.1066667,0.47529013,NB014.70813
NB015,70813,b,46673.714,23.37191487,660.02,0.454762201,NB015.70813
NB015,70813,r,60791.41867,30.44137139,626.7933333,0.439610336,NB015.70813
NB015,70813,t,28168.87817,14.10559748,669.0333333,0.470737772,NB015.70813
NB015,70813,v,40156.3471,20.10833605,660.4,0.468805693,NB015.70813
NB016,70813,b,25845.75763,12.88422614,651.8066667,0.483796961,NB016.70813
NB016,70813,r,28459.48343,14.18718018,675.8,0.484489234,NB016.70813
NB016,70813,t,15284.82263,7.619552659,675.7966667,0.508663336,NB016.70813
NB016,70813,v,37973.57567,18.92999784,668.4233333,0.456939254,NB016.70813
NB017,70813,b,31448.79597,15.74802001,667.04,0.492144957,NB017.70813
NB017,70813,r,39075.3451,19.56702308,672.0933333,0.490265319,NB017.70813
NB017,70813,t,13401.84757,6.710990269,675.7066667,0.531856025,NB017.70813
NB017,70813,v,29415.26713,14.72972816,692.09,0.522021439,NB017.70813
NB018,70813,b,29413.4257,14.72880606,661.0933333,0.506592394,NB018.70813
NB018,70813,r,30385.78383,15.21571549,686.8066667,0.515446349,NB018.70813
NB018,70813,t,23236.9951,11.63595148,672.75,0.498949535,NB018.70813
NB018,70813,v,27617.2673,13.82937772,693.02,0.521389147,NB018.70813
NB019,80713,b,37098.78747,18.493912,675.05,0.46198783,NB019.70813
NB019,80713,r,42049.88583,20.96205675,682.4233333,0.486971646,NB019.70813
NB019,80713,t,22365.6706,11.14938714,682.05,0.507479165,NB019.70813
NB019,80713,v,37604.7633,18.74614322,658.7533333,0.467691537,NB019.70813
NB020,80713,b,26223.5413,13.07255299,664.7333333,0.528651334,NB020.70813
NB020,80713,r,30670.97917,15.28962072,676.1233333,0.48878536,NB020.70813
NB020,80713,t,25367.58503,12.64585495,681.4166667,0.493479797,NB020.70813
NB020,80713,v,27975.20303,13.94576422,649.7333333,0.514600172,NB020.70813
NB021,80713,b,32054.02897,15.97907725,678.06,0.498044844,NB021.70813
NB021,80713,r,40906.93947,20.39229285,676.4866667,0.448476227,NB021.70813
NB021,80713,t,17162.66863,8.555667315,683.17,0.483880035,NB021.70813
NB021,80713,v,38994.58107,19.43897361,684.1033333,0.446373378,NB021.70813
NB022,80713,b,41505.1934,20.78377236,609.7933333,0.449035271,NB022.70813
NB022,80713,r,47962.6494,24.01735073,678.1133333,0.442140602,NB022.70813
NB022,80713,t,19881.12767,9.955497079,659.6866667,0.507341988,NB022.70813
NB022,80713,v,39154.2072,19.60651337,644.48,0.462452808,NB022.70813
NB023,80713,b,32040.54927,15.97235756,667.1133333,0.470678794,NB023.70813
NB023,80713,r,44819.864,22.34290329,610.4266667,0.460576915,NB023.70813
NB023,80713,t,23412.5877,11.67128001,677.4133333,0.489830137,NB023.70813
NB023,80713,v,40399.9768,20.13956969,636.125,0.462897762,NB023.70813
NB024,70813,b,41544.72893,20.80356982,651.1266667,0.455557485,NB024.70813
NB024,70813,r,35248.17287,17.65056228,670.0966667,0.514473169,NB024.70813
NB024,70813,t,23979.52837,12.00777585,669.7166667,0.501604037,NB024.70813
