band,population,country,year,sex,ci1,rs,tail.mean,weight,date,t.avg.bright,t.hue,t.chrom,r.avg.bright,r.hue,r.chrom,b.avg.bright,b.hue,b.chrom,v.avg.bright,v.hue,v.chrom,band_x_pop,lat,long
2540-44502,colorado,USA,2008,F,132,6,84.58333333499999,19.5,50508,13.2898022,648.4633333,0.528374056,25.7128426,610.78,0.467041313,23.94452696,620.1233333,0.481784056,24.33092906,652.7533333,0.524951575,2540-44502 CO,40.0274,-105.2519
2540-44503,colorado,USA,2008,F,131,8,82.5,19.5,50508,11.17934452,597.4533333,0.534436419,19.42983575,597.69,0.468452865,30.65653931,643.4566667,0.464260776,32.73132699,635.43,0.448938731,2540-44503 CO,40.0274,-105.2519
2540-44504,colorado,USA,2008,M,131,8,101.08333333499999,19.5,50508,3.516206643,670.3933333,0.687313397,31.16616558,645.1433333,0.48541896,15.43135086,624.1433333,0.517037326,13.47159773,638.7033333,0.568166805,2540-44504 CO,40.0274,-105.2519
2540-44505,colorado,USA,2008,F,NA,NA,90.66666666500001,19,50508,13.45011918,660.0766667,0.547044871,21.36296645,580.0966667,0.499576529,23.18113671,620.1033333,0.498598664,22.47916658,661.3566667,0.520411168,2540-44505 CO,40.0274,-105.2519
2540-44506,colorado,USA,2008,F,151,9,77.5,17.5,50508,25.02236622,579.4466667,0.478614818,33.62518361,618.44,0.440780419,36.94343649,616.42,0.412148483,24.88783125,579.4466667,0.473340916,2540-44506 CO,40.0274,-105.2519
2540-44507,colorado,USA,2008,F,146,2,77.25,18.5,50508,20.49528426,629.0566667,0.505689996,24.81420698,618.42,0.461193877,23.1630868,622.46,0.499982613,9.635961609,654.4266667,0.508331355,2540-44507 CO,40.0274,-105.2519
2540-44508,colorado,USA,2008,M,176,5,106,21.5,50508,15.20043732,623.74,0.537487981,30.32281255,577.7366667,0.439399881,23.21193624,609.08,0.488507722,24.25765832,646.41,0.530430931,2540-44508 CO,40.0274,-105.2519
2540-44509,colorado,USA,2008,M,140,7,88.08333333,19.5,50508,10.09300951,655.065,0.559155577,29.31260507,593.4133333,0.428521342,27.15296461,627.4933333,0.439310584,20.21958121,612.1266667,0.51565179,2540-44509 CO,40.0274,-105.2519
2540-44510,colorado,USA,2008,F,157,10,79.75,21,50508,11.86069938,674.3566667,0.588241803,37.02583175,607.0666667,0.410696235,28.53394775,611.41,0.472466959,28.97330746,603.4233333,0.459301243,2540-44510 CO,40.0274,-105.2519
2540-44511,colorado,USA,2008,M,159,8,88,18.5,50608,13.06443165,686.45,0.553243603,26.44408997,620.0333333,0.485093134,20.30029294,692.4133333,0.490871408,21.57149307,693.4033333,0.510844419,2540-44511 CO,40.0274,-105.2519
