pop1,pop2,mean.gen.dist
alzamay,boatu,0.22761
alzamay,changchun,0.225307
alzamay,colorado,0.218403
alzamay,egypt,0.220744
alzamay,harbin,0.225827
alzamay,israel,0.221095
alzamay,jiuquan,0.221763
alzamay,khingui,0.215029
alzamay,marrakesh,0.219769
alzamay,moscow,0.216927
alzamay,narin-talacha,0.220331
alzamay,qinhuangdao,0.22881
alzamay,qiqihar,0.225317
alzamay,takecha,0.219487
alzamay,tokyo,0.226872
alzamay,yekatarinburg,0.217082
alzamay,zakaltoose,0.218406
alzamay,zhangye,0.224212
alzamay,zhengzhou,0.228533
boatu,changchun,0.225794
boatu,colorado,0.228595
boatu,egypt,0.230373
boatu,harbin,0.225614
boatu,israel,0.230359
boatu,jiuquan,0.22655
boatu,khingui,0.226486
boatu,marrakesh,0.228985
boatu,moscow,0.226781
boatu,narin-talacha,0.22832
boatu,qinhuangdao,0.22483
boatu,qiqihar,0.226405
boatu,takecha,0.230061
boatu,tokyo,0.225546
boatu,yekatarinburg,0.226567
boatu,zakaltoose,0.228822
boatu,zhangye,0.22842
boatu,zhengzhou,0.225988
changchun,colorado,0.22743
changchun,egypt,0.231204
changchun,harbin,0.224744
changchun,israel,0.230865
changchun,jiuquan,0.227738
changchun,khingui,0.225752
changchun,marrakesh,0.230217
changchun,moscow,0.226945
changchun,narin-talacha,0.227034
changchun,qinhuangdao,0.226361
changchun,qiqihar,0.225789
changchun,takecha,0.22797
changchun,tokyo,0.224604
changchun,yekatarinburg,0.226785
changchun,zakaltoose,0.227885
changchun,zhangye,0.228581
changchun,zhengzhou,0.226556
colorado,egypt,0.223116
colorado,harbin,0.227857
colorado,israel,0.222993
colorado,jiuquan,0.223373
colorado,khingui,0.217457
colorado,marrakesh,0.222205
colorado,moscow,0.219796
colorado,narin-talacha,0.221261
colorado,qinhuangdao,0.230038
colorado,qiqihar,0.228172
colorado,takecha,0.221968
colorado,tokyo,0.227596
colorado,yekatarinburg,0.219708
