pop1,pop2,mean_relatedness_phi
alzamay,boatu,-0.550522
alzamay,changchun,-0.533657
alzamay,colorado,-0.520278
alzamay,egypt,-0.631944
alzamay,harbin,-0.54978
alzamay,israel,-0.515084
alzamay,jiuquan,-0.523066
alzamay,khingui,-0.599935
alzamay,marrakesh,-0.565247
alzamay,moscow,-0.644771
alzamay,narin-talacha,-0.508695
alzamay,qinhuangdao,-0.551179
alzamay,qiqihar,-0.538486
alzamay,takecha,-0.518065
alzamay,tokyo,-0.5897
alzamay,yekatarinburg,-0.649856
alzamay,zakaltoose,-0.512844
alzamay,zhangye,-0.513738
alzamay,zhengzhou,-0.576283
boatu,changchun,-0.471293
boatu,colorado,-0.503525
boatu,egypt,-0.603394
boatu,harbin,-0.482964
boatu,israel,-0.497789
boatu,jiuquan,-0.480466
boatu,khingui,-0.578742
boatu,marrakesh,-0.542493
boatu,moscow,-0.61301
boatu,narin-talacha,-0.485461
boatu,qinhuangdao,-0.464034
boatu,qiqihar,-0.481595
boatu,takecha,-0.50636
boatu,tokyo,-0.509503
boatu,yekatarinburg,-0.615492
boatu,zakaltoose,-0.499974
boatu,zhangye,-0.472802
boatu,zhengzhou,-0.494348
changchun,colorado,-0.491
changchun,egypt,-0.601753
changchun,harbin,-0.473403
changchun,israel,-0.49626
changchun,jiuquan,-0.483169
changchun,khingui,-0.56992
changchun,marrakesh,-0.543777
changchun,moscow,-0.607658
changchun,narin-talacha,-0.474706
changchun,qinhuangdao,-0.463526
changchun,qiqihar,-0.476182
changchun,takecha,-0.491134
changchun,tokyo,-0.500248
changchun,yekatarinburg,-0.611739
changchun,zakaltoose,-0.492573
changchun,zhangye,-0.470342
changchun,zhengzhou,-0.497751
colorado,egypt,-0.584141
colorado,harbin,-0.506473
colorado,israel,-0.473146
colorado,jiuquan,-0.478257
colorado,khingui,-0.563291
colorado,marrakesh,-0.523143
colorado,moscow,-0.599437
colorado,narin-talacha,-0.460848
colorado,qinhuangdao,-0.504665
colorado,qiqihar,-0.499165
colorado,takecha,-0.478851
colorado,tokyo,-0.536612
colorado,yekatarinburg,-0.601494
colorado,zakaltoose,-0.47341
colorado,zhangye,-0.471117
colorado,zhengzhou,-0.529674
egypt,harbin,-0.620344
egypt,israel,-0.485892
egypt,jiuquan,-0.530352
egypt,khingui,-0.653703
egypt,marrakesh,-0.540569
egypt,moscow,-0.62796
egypt,narin-talacha,-0.566232
egypt,qinhuangdao,-0.616068
egypt,qiqihar,-0.605701
egypt,takecha,-0.584788
egypt,tokyo,-0.653827
egypt,yekatarinburg,-0.635102
egypt,zakaltoose,-0.563825
egypt,zhangye,-0.521413
egypt,zhengzhou,-0.639074
harbin,israel,-0.512496
harbin,jiuquan,-0.499088
harbin,khingui,-0.58683
harbin,marrakesh,-0.557149
harbin,moscow,-0.633212
harbin,narin-talacha,-0.48964
harbin,qinhuangdao,-0.471137
harbin,qiqihar,-0.485988
harbin,takecha,-0.509665
harbin,tokyo,-0.507202
harbin,yekatarinburg,-0.634594
harbin,zakaltoose,-0.501142
harbin,zhangye,-0.482797
harbin,zhengzhou,-0.506689
israel,jiuquan,-0.427618
israel,khingui,-0.526334
israel,marrakesh,-0.438306
israel,moscow,-0.50395
israel,narin-talacha,-0.464192
israel,qinhuangdao,-0.505774
israel,qiqihar,-0.502331
israel,takecha,-0.475854
israel,tokyo,-0.540629
israel,yekatarinburg,-0.516344
israel,zakaltoose,-0.460881
israel,zhangye,-0.424298
israel,zhengzhou,-0.527789
jiuquan,khingui,-0.542331
jiuquan,marrakesh,-0.472113
jiuquan,moscow,-0.544075
jiuquan,narin-talacha,-0.46441
jiuquan,qinhuangdao,-0.485336
jiuquan,qiqihar,-0.488842
jiuquan,takecha,-0.480646
jiuquan,tokyo,-0.524774
jiuquan,yekatarinburg,-0.547769
jiuquan,zakaltoose,-0.470756
jiuquan,zhangye,-0.417882
jiuquan,zhengzhou,-0.51223
khingui,marrakesh,-0.577921
khingui,moscow,-0.674667
khingui,narin-talacha,-0.534853
khingui,qinhuangdao,-0.581787
khingui,qiqihar,-0.577399
khingui,takecha,-0.555899
khingui,tokyo,-0.622393
khingui,yekatarinburg,-0.677544
khingui,zakaltoose,-0.541024
khingui,zhangye,-0.526938
khingui,zhengzhou,-0.608258
marrakesh,moscow,-0.555612
marrakesh,narin-talacha,-0.503074
marrakesh,qinhuangdao,-0.556278
marrakesh,qiqihar,-0.549036
marrakesh,takecha,-0.523887
marrakesh,tokyo,-0.588919
marrakesh,yekatarinburg,-0.562144
marrakesh,zakaltoose,-0.505313
marrakesh,zhangye,-0.466639
marrakesh,zhengzhou,-0.576693
moscow,narin-talacha,-0.571344
moscow,qinhuangdao,-0.626303
moscow,qiqihar,-0.614076
moscow,takecha,-0.594139
moscow,tokyo,-0.662886
moscow,yekatarinburg,-0.642656
moscow,zakaltoose,-0.571843
moscow,zhangye,-0.531097
moscow,zhengzhou,-0.646991
narin-talacha,qinhuangdao,-0.481898
narin-talacha,qiqihar,-0.486578
narin-talacha,takecha,-0.46698
narin-talacha,tokyo,-0.514684
narin-talacha,yekatarinburg,-0.57876
narin-talacha,zakaltoose,-0.459179
narin-talacha,zhangye,-0.456536
narin-talacha,zhengzhou,-0.507837
qinhuangdao,qiqihar,-0.471244
qinhuangdao,takecha,-0.502432
qinhuangdao,tokyo,-0.491378
qinhuangdao,yekatarinburg,-0.632736
qinhuangdao,zakaltoose,-0.495934
qinhuangdao,zhangye,-0.47316
qinhuangdao,zhengzhou,-0.486846
qiqihar,takecha,-0.495203
qiqihar,tokyo,-0.514561
qiqihar,yekatarinburg,-0.621056
qiqihar,zakaltoose,-0.501129
qiqihar,zhangye,-0.478359
qiqihar,zhengzhou,-0.493779
takecha,tokyo,-0.534768
takecha,yekatarinburg,-0.59971
takecha,zakaltoose,-0.478509
takecha,zhangye,-0.472247
takecha,zhengzhou,-0.526958
tokyo,yekatarinburg,-0.66784
tokyo,zakaltoose,-0.530613
tokyo,zhangye,-0.511132
tokyo,zhengzhou,-0.531404
yekatarinburg,zakaltoose,-0.576457
yekatarinburg,zhangye,-0.538228
yekatarinburg,zhengzhou,-0.654726
zakaltoose,zhangye,-0.460324
zakaltoose,zhengzhou,-0.526211
zhangye,zhengzhou,-0.499476
