population,lat,long,F,M,subspp
baotu,40.552814,109.99833,12,14,gutturalis
changchun,43.906216,125.314668,16,15,gutturalis
colorado,40.0274,-105.2519,147,130,erythrogaster
cornwall,50.322669,-5.019579,59,61,rustica
czech rep,49.0692,14.7112,143,150,rustica
egypt,31.413656,31.567402,14,19,savignii
harbin,45.761237,126.609063,19,24,gutturalis
israel,32.9282,35.5407,62,60,transitiva
ithaca,42.45,-76.47,14,39,erythrogaster
jiuquan,39.719986,98.509744,20,17,rg.hybrids
karasuk,53.730186,77.839711,15,12,rustica
mixed.barns,50.45966,113.461906,16,13,tg
morocco,31.75960913,-8.054391808,74,79,rustica
moscow,56.724301,37.774761,15,16,rustica
narin.talacha,51.937939,114.972817,22,22,tg
qinhuangdao,39.92558,119.594752,16,12,gutturalis
qiqihar,47.339176,123.978505,13,13,gutturalis
romania,46.75319,23.83464,14,16,rustica
rt.zone,NA,NA,62,59,rt
rt.zone2,NA,NA,17,13,rt
shuangyashan,46.59295,131.248593,46,44,gutturalis
taiwan,25.041435,121.612744,15,18,gutturalis
tokyo,35.97684,139.135625,15,14,gutturalis
turkey,36.85771,31.16061,105,101,rustica
yekaterinburg,57.575132,62.70624,27,24,rustica
zakaltoose,52.021259,106.590942,15,15,tytleri
zhangye,38.88759,100.469511,18,18,rg.hybrids
zhengzhou,34.780976,113.65069,16,12,gutturalis
