X1,X2,hc1.height,trait1,trait2
-4,-6,0.035714286,breast brightness,breast chroma
-10,-12,0.035714286,vent brightness,vent chroma
-7,-9,0.232142857,belly brightness,belly chroma
-1,-3,0.25,throat brightness,throat chroma
-2,4,0.375,throat hue,throat brightness + throat chroma
1,2,0.392857143,breast brightness/chroma ,vent brightness/chroma
-5,-8,0.392857143,breast hue,belly hue
3,6,0.571428571,belly brightness/chroma,breast+vent brightness/chroma
-11,7,0.589285714,vent hue,breast+belly hue
5,9,0.767857143,throat brightness/chroma/hue,breast+belly+vent hue
8,10,0.892857143,breast+vent+belly brightness/chroma,throat + hues
