"","population","lat","long","F","M"
"1","baotu",40.552814,109.99833,12,14
"2","changchun",43.906216,125.314668,16,15
"3","colorado",40.0274,-105.2519,147,130
"4","cornwall",50.322669,-5.019579,59,61
"5","czech rep",49.0692,14.7112,143,150
"6","egypt",31.413656,31.567402,14,19
"7","harbin",45.761237,126.609063,19,24
"8","israel",32.9282,35.5407,62,60
"9","ithaca",42.45,-76.47,14,39
"10","jiuquan",39.719986,98.509744,20,17
"11","karasuk",53.730186,77.839711,15,12
"12","mixed.barns",50.45966,113.461906,16,13
"13","morocco",31.75960913,-8.054391808,74,79
"14","moscow",56.724301,37.774761,15,16
"15","narin.talacha",51.937939,114.972817,22,22
"16","qinhuangdao",39.92558,119.594752,16,12
"17","qiqihar",47.339176,123.978505,13,13
"18","romania",46.75319,23.83464,14,16
"19","rt.zone",NA,NA,62,59
"20","rt.zone2",NA,NA,17,13
"21","shuangyashan",46.59295,131.248593,46,44
"22","taiwan",25.041435,121.612744,15,18
"23","tokyo",35.97684,139.135625,15,14
"24","turkey",36.85771,31.16061,105,101
"25","yekaterinburg",57.575132,62.70624,27,24
"26","zakaltoose",52.021259,106.590942,15,15
"27","zhangye",38.88759,100.469511,18,18
"28","zhengzhou",34.780976,113.65069,16,12
